,word,freq,profanity,hr
0,się,2844816,dojebię,60
1,i,2658222,chujnia,90
2,w,2477368,chujowa,90
3,nie,2209859,downie,90
4,na,1928331,jebana,90
5,z,1725331,dupeczka,90
6,do,1239463,dojebac,90
7,to,1202756,szmato,90
8,że,1129684,chujek,45
9,a,789895,chuja,90
10,o,634485,chujowa,90
11,jak,613079,jebak,75
12,ale,531765,dojebalem,90
13,po,517714,cipo,90
14,co,515817,ciot,67
15,tak,479696,ciota,72
16,za,417406,dopieprzac,90
17,od,351621,odpieprzac,90
18,go,344692,jebiacego,90
19,już,338548,chuju,72
20,jego,333067,jebiacego,68
21,jej,315650,jebnij,67
22,czy,285055,dopierdalajacy,72
23,przez,284923,przejebac,72
24,tylko,284848,matkojebca,54
25,tego,260588,jebiacego,68
26,sobie,229783,dojebie,67
27,jeszcze,225946,jebcie,62
28,może,220962,morde,67
29,ze,212740,kurwiszcze,90
30,kiedy,212490,jebankiem,60
31,pan,205405,cipach,60
32,ich,198351,dopierdolic,72
33,dla,192767,pizda,72
34,by,184651,zjeby,90
35,gdy,178802,dupy,57
36,teraz,176778,pieprz,55
37,ja,176486,chuja,90
38,ten,173877,zajebiste,72
39,który,163522,kurwy,67
40,nawet,162128,najebala,54
41,bardzo,158126,nabarłożyć,60
42,przed,155100,przejebac,72
43,tu,151295,ciot,60
44,jednak,148713,jebak,73
45,pod,147479,podjebac,90
46,coś,145800,ciota,60
47,tam,142414,ciota,72
48,wszystko,139642,skurwysynstwo,57
49,przy,138531,odpieprzy,90
50,więc,136276,kurwic,77
51,nic,135638,zapierniczający,90
52,bo,135411,jebako,50
53,nim,132294,jebani,72
54,żeby,129800,matkojebcy,68
55,miał,128414,wkurwiał,68
56,on,128249,kurwiszon,90
57,być,127488,zjeby,72
58,potem,122764,pojebem,67
59,też,122396,zajebiste,72
60,jeśli,119586,jebliwy,67
61,bez,118907,dojebie,60
62,nad,110436,jebana,72
63,gdzie,106779,pierdziec,72
64,lecz,101111,pierdolec,77
65,siebie,96422,jebie,73
66,nigdy,94150,pieprzniety,54
67,ani,91781,jebani,90
68,właśnie,90607,downie,62
69,sam,90060,kutasami,90
70,u,85592,chuj,90
71,dobrze,84323,dojebie,62
72,niż,84252,jebani,72
73,jakby,83531,dopierdalajacy,60
74,aby,82860,dopierdalajacy,60
75,ty,82207,pieprzniety,90
76,oczy,81675,chujowy,51
77,zawsze,80261,zajebiste,53
78,raz,79108,pieprz,72
79,były,78151,rozjebały,68
80,no,77040,skurwysynow,90
81,albo,73129,pojebalo,77
82,gdyby,72223,wyjebany,46
83,aż,71588,chuja,60
84,wtedy,71207,wypierdolimy,47
85,przecież,71048,zapieprzycie,72
86,ona,67344,kurwiszona,90
87,drzwi,67342,podkurwic,57
88,jako,66512,jebako,80
89,chyba,65973,rozpierducha,68
90,nagle,65842,pierdolnal,68
91,wszyscy,65522,skurwysynem,51
92,jeden,64319,jebie,60
93,czym,64061,spermosiorbaczem,68
94,kto,63630,cipko,72
95,sposób,60974,pojeb,60
96,czas,60358,dupeczka,68
97,kilka,59516,kurwiska,62
98,dlaczego,59118,jebiacego,59
99,razem,58853,spermosiorbaczem,72
100,także,58746,jebankiem,54
101,mój,57119,cipkom,60
102,nikt,56094,pierdolnik,77
103,choć,55515,poruchać,68
104,wiele,54702,skurwielem,90
105,dwa,54015,pizda,72
106,ktoś,53945,dzifko,60
107,lub,53492,debilu,72
108,trzeba,53425,rozjebac,71
109,niech,52639,hój,60
110,ku,51003,kurestwo,90
111,twarz,50948,kurwiarz,72
112,którego,50446,kórewko,67
113,we,50311,chujowe,90
114,znowu,49773,skurwysynow,60
115,człowiek,48776,cipek,62
116,jakiś,48319,jebak,60
117,tutaj,47964,kutas,60
118,szybko,47079,lesbijko,57
119,tyle,46320,pieprznięty,60
120,głos,46025,jebiacego,60
121,między,45854,śmierdziel,60
122,wreszcie,45462,cipe,77
123,również,45115,downie,67
124,życie,45007,rozjebałyście,72
125,oczywiście,44478,cipe,68
126,znów,44082,dziwka,60
127,swoje,43746,kurestwo,60
128,dlatego,43643,popierdolonego,51
129,zbyt,43308,zjeby,67
130,ciebie,43154,cipie,73
131,zupełnie,42774,dupe,68
132,taki,42715,jebankiem,68
133,czego,42574,jebiacego,80
134,iż,42492,jebani,60
135,dopiero,41582,dopierdole,82
136,powiedzieć,41260,pierdzieć,84
137,obok,41162,pojebalo,50
138,prawie,41153,kurwie,67
139,poza,40676,dopieprzac,68
140,zaś,40331,picza,72
141,wciąż,40299,cipą,67
142,jeżeli,40011,jebliwy,62
143,moje,39602,dojebac,68
144,prawda,39214,dopierdala,60
145,trzy,39067,odpieprzy,68
146,dzień,37545,pierdziec,72
147,miejsce,37244,spieprzajcie,53
148,mimo,36896,jebankiem,51
149,ponieważ,36725,downie,57
150,zaraz,36471,zasrać,73
151,długo,36301,dupa,44
152,coraz,36263,ciota,60
153,podczas,36022,picza,67
154,natychmiast,35407,chuja,54
155,zanim,34422,zajebani,62
156,cóż,34270,dojebac,60
157,każdy,34256,kutasy,55
158,zrobić,34054,dopierdolić,60
159,ojciec,33735,cipe,68
160,my,33147,nakurwiamy,90
161,dość,32580,dojebać,55
162,oraz,32333,koorwa,68
163,jaki,32287,jebankiem,68
164,stanie,32035,kutasie,62
165,wcale,31810,wkurwial,60
166,wśród,31620,wpierdol,50
167,mieć,31476,pierdzieć,68
168,zresztą,31261,kurestwo,53
169,dziś,31181,dzifka,68
170,ile,31112,dojebie,72
171,chociaż,31020,cipa,68
172,gdyż,30982,dupy,50
173,kiedyś,30387,jebankiem,54
174,swój,30116,kutasów,72
175,jedynie,29687,jebnie,77
176,pewno,29267,kórewko,55
