Unnamed: 0,word,freq,profanity,hr
1,i,2658222,chujnia,90
2,w,2477368,chujowa,90
3,nie,2209859,downie,90
4,na,1928331,jebana,90
5,z,1725331,dupeczka,90
6,do,1239463,dojebac,90
7,to,1202756,szmato,90
9,a,789895,chuja,90
10,o,634485,chujowa,90
11,jak,613079,jebak,75
12,ale,531765,dojebalem,90
13,po,517714,cipo,90
16,za,417406,dopieprzac,90
17,od,351621,odpieprzac,90
18,go,344692,jebiacego,90
29,ze,212740,kurwiszcze,90
34,by,184651,zjeby,90
37,ja,176486,chuja,90
45,pod,147479,podjebac,90
49,przy,138531,odpieprzy,90
50,więc,136276,kurwic,77
51,nic,135638,zapierniczający,90
56,on,128249,kurwiszon,90
64,lecz,101111,pierdolec,77
67,ani,91781,jebani,90
69,sam,90060,kutasami,90
70,u,85592,chuj,90
75,ty,82207,pieprzniety,90
80,no,77040,skurwysynow,90
81,albo,73129,pojebalo,77
86,ona,67344,kurwiszona,90
88,jako,66512,jebako,80
102,nikt,56094,pierdolnik,77
104,wiele,54702,skurwielem,90
110,ku,51003,kurestwo,90
113,we,50311,chujowe,90
122,wreszcie,45462,cipe,77
133,czego,42574,jebiacego,80
135,dopiero,41582,dopierdole,82
136,powiedzieć,41260,pierdzieć,84
160,my,33147,nakurwiamy,90
175,jedynie,29687,jebnie,77
187,skąd,25389,kurewską,77
198,razy,23809,odpieprzy,77
205,widać,22638,nakurwiać,80
213,wiedzieć,21616,pierdzieć,82
226,dziecko,20261,dzifko,77
229,śmierć,20176,śmierdziel,75
234,pięć,19605,udupić,77
265,szczęście,17058,cipe,77
272,przede,16715,przejebac,75
280,wy,15887,chujowy,90
291,dwadzieścia,15172,cipa,77
296,ach,14796,cipach,90
300,czemu,14648,spermosiorbaczem,80
311,ego,14018,jebiacego,90
316,krew,13803,kórewko,90
341,ów,12568,chujowa,90
346,prawdopodobnie,12415,downie,75
359,gwałtownie,11911,downie,75
367,nowy,11570,skurwysynow,77
368,stać,11518,zajebista,77
369,ależ,11447,pedale,77
370,ból,11405,jebliwy,90
373,syn,11198,skurwysyn,90
377,odpowiedź,10940,downie,75
383,żyć,10813,nabarłożyć,90
392,ruch,10327,poruchac,90
419,ni,9303,chujnia,90
425,widzieć,9098,pierdzieć,75
426,wina,9093,wkurwia,77
431,strach,8991,srac,80
443,stan,8459,zajebista,77
453,cień,8282,fiucie,77
461,dowiedzieć,8122,downie,75
462,mnóstwo,8030,skurwysynstwo,75
465,uczucie,7882,cipe,77
470,morze,7789,morde,80
471,dziwnie,7786,downie,77
488,spać,7443,srać,75
491,póki,7393,cipki,90
499,zabrać,7251,zasrać,83
525,działo,6891,wypiździały,75
528,osobiście,6878,cipe,77
536,znać,6628,dopieprzać,77
541,nareszcie,6538,cipe,77
543,udział,6527,wypiździały,75
556,duży,6397,dupy,75
567,ciotka,6215,ciota,91
568,nowo,6199,skurwysynow,77
584,wierzyć,6000,wypieprzy,75
593,poczucie,5917,cipe,77
608,przejść,5745,przejebać,75
621,odpowiedzieć,5678,pierdzieć,76
627,prócz,5577,pieprz,77
644,niedaleko,5395,pedale,75
667,zająć,5177,spieprzają,80
675,ucha,5097,poruchac,90
678,słuchać,5083,ruchać,77
682,kraj,5048,kórwa,75
683,piętnaście,5032,cipe,77
691,ciepło,4968,cipo,80
719,atak,4765,szmata,77
732,duch,4684,rozpierducha,90
741,przyjąć,4617,przyjebać,75
758,rząd,4524,zapieprzą,77
759,hej,4520,hój,80
768,wiek,4441,kurwie,77
784,nieruchomo,4289,rucham,75
786,niespodziewanie,4280,dziwka,75
794,zdecydowanie,4215,downie,75
799,cios,4151,ciot,75
803,przyjść,4130,przyjebać,75
828,brać,3990,dojebać,77
852,kilkanaście,3858,cipe,77
856,babcia,3834,cipa,77
858,zachowanie,3824,downie,75
863,grać,3787,srać,75
882,wejście,3693,cipe,77
890,spodziewać,3660,dziwka,75
892,opowiedzieć,3650,pierdzieć,80
910,siedzieć,3583,pierdzieć,82
914,nieszczęście,3563,cipe,77
917,dosłownie,3554,downie,80
922,zdrowie,3545,downie,77
925,skóra,3532,kurewska,77
927,dwanaście,3525,cipe,77
939,mianowicie,3463,cipe,77
960,otwarcie,3342,cipe,77
961,papier,3342,naopierdalac,75
977,ba,3258,dojebac,90
995,napisać,3206,srać,77
999,dwieście,3188,cipe,77
1032,pić,3080,udupić,90
1041,zdjęcie,3051,cipe,77
1043,przyjęcie,3046,przyjebie,78
1053,pojechać,2986,pojebać,80
1063,różnica,2954,zapierniczający,75
1072,dział,2935,wypiździały,90
1093,przejście,2874,cipe,77
1113,podać,2812,podjebać,77
1117,wybrać,2807,wyjebać,77
